反復回数n,x1,f(x1)
937,0.937000,-0.65728004
938,0.938000,-0.65540729
939,0.939000,-0.65353509
940,0.940000,-0.65166343
941,0.941000,-0.64979231
942,0.942000,-0.64792173
943,0.943000,-0.64605170
944,0.944000,-0.64418220
945,0.945000,-0.64231323
946,0.946000,-0.64044480
947,0.947000,-0.63857690
948,0.948000,-0.63670953
949,0.949000,-0.63484269
950,0.950000,-0.63297638
951,0.951000,-0.63111060
952,0.952000,-0.62924534
953,0.953000,-0.62738060
954,0.954000,-0.62551639
955,0.955000,-0.62365270
956,0.956000,-0.62178952
957,0.957000,-0.61992686
958,0.958000,-0.61806472
959,0.959000,-0.61620309
960,0.960000,-0.61434198
961,0.961000,-0.61248138
962,0.962000,-0.61062129
963,0.963000,-0.60876170
964,0.964000,-0.60690262
965,0.965000,-0.60504405
966,0.966000,-0.60318599
967,0.967000,-0.60132842
968,0.968000,-0.59947136
969,0.969000,-0.59761480
970,0.970000,-0.59575874
971,0.971000,-0.59390317
972,0.972000,-0.59204810
973,0.973000,-0.59019353
974,0.974000,-0.58833945
975,0.975000,-0.58648586
976,0.976000,-0.58463276
977,0.977000,-0.58278016
978,0.978000,-0.58092804
979,0.979000,-0.57907640
980,0.980000,-0.57722525
981,0.981000,-0.57537459
982,0.982000,-0.57352441
983,0.983000,-0.57167471
984,0.984000,-0.56982549
985,0.985000,-0.56797675
986,0.986000,-0.56612849
987,0.987000,-0.56428071
988,0.988000,-0.56243340
989,0.989000,-0.56058656
990,0.990000,-0.55874020
991,0.991000,-0.55689431
992,0.992000,-0.55504888
993,0.993000,-0.55320393
